epoch,total_loss,ce_loss,ajloss,gcl_loss,align_loss,orth_loss,subject_loss,subject_shared_loss,subject_private_loss,shared_subject_acc,private_subject_acc,target_pseudo_conf_mean,target_reliability_mean,target_feature_agreement_mean,target_feature_margin_mean,target_feature_entropy_score_mean,target_scale_consistency_mean,target_align_conf_mean,target_align_coverage,target_align_count,align_active,validation_accuracy,validation_macro_f1
1,3.948412275314331,0.669574037194252,1.3101110577583313,9.601495552062989,0.0,0.004784758994355797,2.4571557521820067,0.0,0.0,0.0,0.0,0.6741364419460296,0.4270170360803604,0.6210075557231903,0.36068506315350535,0.2905547526665032,0.7151797473430633,0.0,0.0,0.0,0.0,,
2,3.3250678062438963,0.1872782029211521,1.2806536436080933,9.253121185302735,0.0,0.003587253065779805,2.2670570611953735,0.0,0.0,0.0,0.0,0.8959552884101868,0.7172625839710236,0.8213981091976166,0.6697188794612885,0.6163583517074585,0.8449204742908478,0.0,0.0,0.0,0.0,,
3,3.1382546186447144,0.07459429763257504,1.256956684589386,9.011216163635254,0.0,0.0023078579339198767,2.233706021308899,0.0,0.0,0.0,0.0,0.9369304955005646,0.742441612482071,0.8373020231723786,0.6970773100852966,0.66231369972229,0.8479670226573944,0.0,0.0,0.0,0.0,,
4,3.0745108842849733,0.039571437425911425,1.2388450980186463,8.926389980316163,0.0,0.0016368299489840864,2.21934552192688,0.0,0.0,0.0,0.0,0.9477621197700501,0.7350830674171448,0.8316970765590668,0.6842075169086457,0.6607127964496613,0.8407012701034546,0.0,0.0,0.0,0.0,,
5,3.0460471153259276,0.025039833225309848,1.2250695705413819,8.891408157348632,0.0,0.0013201318914070725,2.2101890087127685,0.0,0.0,0.0,0.0,0.9542202174663543,0.7342140972614288,0.8312498211860657,0.682733803987503,0.6592021346092224,0.8397760987281799,0.0,0.0,0.0,0.0,,
6,3.0293893098831175,0.018002942856401204,1.2150551080703735,8.867641067504882,0.0,0.0012288091005757452,2.2036484479904175,0.0,0.0,0.0,0.0,0.9615426898002625,0.7667966306209564,0.8524178445339203,0.7211652517318725,0.6963575780391693,0.8608957052230835,0.0,0.0,0.0,0.0,,
7,3.0136309623718263,0.011194963194429874,1.207868754863739,8.844325733184814,0.0,0.0011862351791933178,2.1969881772994997,0.0,0.0,0.0,0.0,0.9619808495044708,0.7562871277332306,0.8451420307159424,0.7073896884918213,0.68584144115448,0.853317654132843,0.0,0.0,0.0,0.0,,
8,3.0009764432907104,0.009127739444375038,1.202623152732849,8.818343257904052,0.0,0.0012597331195138394,2.1846850633621218,0.0,0.0,0.0,0.0,0.9655575573444366,0.7817591309547425,0.8620766997337341,0.7393826186656952,0.7164919257164002,0.8685975551605225,0.0,0.0,0.0,0.0,,
9,2.986619973182678,0.007993410620838404,1.1992282629013062,8.79189567565918,0.0,0.0016411053016781806,2.1602740049362184,0.0,0.0,0.0,0.0,0.966398149728775,0.7723065257072449,0.8561731815338135,0.7284671366214752,0.7039178133010864,0.8621626555919647,0.0,0.0,0.0,0.0,,
10,2.966084027290344,0.006308568920940161,1.1968369722366332,8.764224910736084,0.0,0.00239747385494411,2.113091969490051,0.0,0.0,0.0,0.0,0.9666482329368591,0.7840068578720093,0.863385146856308,0.7414261758327484,0.7175854921340943,0.8722216010093689,0.0,0.0,0.0,0.0,,
