checkpoint,subject_id,baseline_accuracy,fused_accuracy,delta_accuracy,baseline_macro_f1,fused_macro_f1,delta_macro_f1
best,1,0.618096357226792,0.5699177438307873,0.04817861339600471,0.6330375619698569,0.5929200830129623,0.04011747895689466
best,6,0.44418331374853115,0.4535840188014101,-0.009400705052878933,0.4559010798702586,0.45998671917652945,-0.004085639306270872
best,9,0.690951821386604,0.7285546415981199,-0.03760282021151584,0.6618816302157361,0.7245411049593716,-0.06265947474363553
final,1,0.6086956521739131,0.5440658049353702,0.06462984723854293,0.6244335731199153,0.5669258269900344,0.057507746129880966
final,6,0.4571092831962397,0.4618096357226792,-0.004700352526439466,0.47610006110629,0.4697229252507624,0.0063771358555275715
final,9,0.7649823736780259,0.654524089306698,0.11045828437132788,0.7564282857904558,0.6575221332296166,0.09890615256083923
