rule,threshold,selected_count,coverage,pseudo_label_accuracy
Consensus,0.0,22077,1.0,0.5505729945191828
Consensus,0.021466104313731194,22077,1.0,0.5505729945191828
Consensus,0.03298523277044296,22076,0.9999547039905784,0.5505979344084073
Consensus,0.0337938591837883,22075,0.9999094079811569,0.5506228765571914
Consensus,0.03699198365211487,22074,0.9998641119717353,0.5506025188003987
Consensus,0.04079152271151543,22073,0.9998188159623137,0.5506274634168441
Consensus,0.04265458881855011,22072,0.9997735199528921,0.5506071040231968
Consensus,0.045106250792741776,22071,0.9997282239434706,0.5506320511077885
Consensus,0.04601749777793884,22070,0.999682927934049,0.5506570004531037
Consensus,0.047349799424409866,22069,0.9996376319246274,0.5506819520594499
Consensus,0.04961622133851051,22068,0.9995923359152059,0.5507069059271343
Consensus,0.04966310039162636,22067,0.9995470399057843,0.5507318620564644
Consensus,0.057018864899873734,22066,0.9995017438963627,0.5507568204477477
Consensus,0.05736568942666054,22065,0.9994564478869412,0.5507817811012916
Consensus,0.0574510432779789,22064,0.9994111518775196,0.550761421319797
Consensus,0.059519704431295395,22063,0.999365855868098,0.5507410596926982
Consensus,0.05963463708758354,22062,0.9993205598586764,0.5507660230260176
Consensus,0.05966696888208389,22061,0.9992752638492549,0.5507456597615702
Consensus,0.0605415515601635,22060,0.9992299678398333,0.5507706255666365
Consensus,0.06056623533368111,22059,0.9991846718304117,0.5507955936352509
Consensus,0.06193828955292702,22058,0.9991393758209902,0.5508205639677215
Consensus,0.06246661767363548,22057,0.9990940798115686,0.5508001994831573
Consensus,0.06371808797121048,22056,0.999048783802147,0.5507798331519768
Consensus,0.06470946967601776,22055,0.9990034877927254,0.5508048061664021
Consensus,0.06580038368701935,22054,0.9989581917833039,0.5508297814455427
Consensus,0.06661074608564377,22053,0.9989128957738823,0.5508547589897066
Consensus,0.06674949079751968,22052,0.9988675997644607,0.5508797387992019
Consensus,0.0672822967171669,22051,0.9988223037550392,0.5508593714570768
Consensus,0.06825214624404907,22050,0.9987770077456176,0.5508390022675737
Consensus,0.0692211389541626,22049,0.998731711736196,0.5508639847612137
Consensus,0.06991667300462723,22048,0.9986864157267745,0.550888969521045
Consensus,0.07096409797668457,22047,0.9986411197173529,0.550868598902345
Consensus,0.07153715193271637,22046,0.9985958237079313,0.5508935861380749
Consensus,0.0720868781208992,22045,0.9985505276985097,0.5508732138806985
Consensus,0.07217653095722198,22044,0.9985052316890882,0.5508982035928144
Consensus,0.07502465695142746,22043,0.9984599356796666,0.5509231955722905
Consensus,0.07569283246994019,22042,0.998414639670245,0.5509481898194356
Consensus,0.07604362815618515,22041,0.9983693436608235,0.5509731863345583
Consensus,0.07695189863443375,22040,0.9983240476514019,0.5509981851179674
Consensus,0.07765689492225647,22039,0.9982787516419803,0.5510231861699714
Consensus,0.07797059416770935,22038,0.9982334556325587,0.5510481894908794
Consensus,0.07797610014677048,22037,0.9981881596231372,0.5510278168534737
Consensus,0.08036410063505173,22036,0.9981428636137156,0.5510528226538391
Consensus,0.08038497716188431,22035,0.998097567604294,0.5510324483775811
Consensus,0.08106127381324768,22034,0.9980522715948725,0.5510574566578923
Consensus,0.081184983253479,22033,0.9980069755854509,0.5510370807425226
Consensus,0.0821254700422287,22032,0.9979616795760293,0.5510167029774873
Consensus,0.08232042193412781,22031,0.9979163835666078,0.5510417139485271
Consensus,0.0823502168059349,22030,0.9978710875571862,0.5510213345438039
Consensus,0.08277329057455063,22029,0.9978257915477646,0.5510463479958236
Consensus,0.08283255994319916,22028,0.997780495538343,0.551025966951153
Consensus,0.08330314606428146,22027,0.9977351995289215,0.5510509828846416
Consensus,0.08445923775434494,22026,0.9976899035194999,0.5510760010896214
Consensus,0.0847182497382164,22025,0.9976446075100783,0.5511010215664018
Consensus,0.08483332395553589,22024,0.9975993115006568,0.5511260443152924
Consensus,0.08531781286001205,22023,0.9975540154912352,0.5511056622621805
Consensus,0.08541390299797058,22022,0.9975087194818136,0.5510852783580056
Consensus,0.08570924401283264,22021,0.997463423472392,0.5511103038009173
Consensus,0.08618459105491638,22020,0.9974181274629705,0.5510899182561307
Consensus,0.08619706332683563,22019,0.9973728314535489,0.5511149461828421
Consensus,0.08637439459562302,22018,0.9973275354441273,0.5510945589971841
Consensus,0.0864383727312088,22017,0.9972822394347058,0.5510741699595767
Consensus,0.08665894716978073,22016,0.9972369434252842,0.5510992005813954
Consensus,0.08856349438428879,22015,0.9971916474158626,0.5510788099023393
Consensus,0.08867035806179047,22014,0.9971463514064411,0.5511038430089943
Consensus,0.0888945460319519,22013,0.9971010553970195,0.5510834506882297
Consensus,0.08899372816085815,22012,0.9970557593875979,0.5511084862802108
Consensus,0.08919933438301086,22011,0.9970104633781763,0.5511335241470174
Consensus,0.08943795412778854,22010,0.9969651673687548,0.5511131303952749
Consensus,0.09005029499530792,22009,0.9969198713593332,0.5511381707483303
Consensus,0.0905027911067009,22008,0.9968745753499116,0.5511177753544165
Consensus,0.09065339714288712,22007,0.9968292793404901,0.551097378106966
Consensus,0.09068284183740616,22006,0.9967839833310685,0.551122421157866
Consensus,0.09070802479982376,22005,0.9967386873216469,0.5511020222676665
Consensus,0.09090492129325867,22004,0.9966933913122253,0.5511270678058535
Consensus,0.09135590493679047,22003,0.9966480953028038,0.5511521156205972
Consensus,0.0919986367225647,22002,0.9966027992933822,0.551177165712208
Consensus,0.09231698513031006,22001,0.9965575032839606,0.5512022180809963
Consensus,0.09461916238069534,22000,0.9965122072745392,0.5512272727272727
Consensus,0.09507614374160767,21999,0.9964669112651175,0.5512523296513477
Consensus,0.09509068727493286,21998,0.996421615255696,0.5512773888535322
Consensus,0.09513632953166962,21997,0.9963763192462745,0.5512569895894894
Consensus,0.09515636414289474,21996,0.9963310232368529,0.5512820512820513
Consensus,0.09556900709867477,21995,0.9962857272274313,0.5513071152534667
Consensus,0.09570922702550888,21994,0.9962404312180096,0.5513321815040465
Consensus,0.09591058641672134,21993,0.9961951352085882,0.551311781021234
Consensus,0.09661784023046494,21992,0.9961498391991666,0.5513368497635504
Consensus,0.09689926356077194,21991,0.996104543189745,0.55131644763767
Consensus,0.09697078168392181,21990,0.9960592471803235,0.5513415188722146
Consensus,0.09714177995920181,21989,0.9960139511709019,0.5513665923871026
Consensus,0.09740623086690903,21988,0.9959686551614803,0.5513916681826451
Consensus,0.09778782725334167,21987,0.9959233591520587,0.5513712648383136
Consensus,0.09796750545501709,21986,0.9958780631426372,0.5513963431274448
Consensus,0.09835084527730942,21985,0.9958327671332156,0.5514214236979759
Consensus,0.0989673063158989,21984,0.995787471123794,0.5514465065502183
Consensus,0.09952428936958313,21983,0.9957421751143725,0.5514715916844835
Consensus,0.09974480420351028,21982,0.9956968791049509,0.5514511873350924
Consensus,0.09995127469301224,21981,0.9956515830955293,0.5514762749647423
Consensus,0.10003095865249634,21980,0.9956062870861078,0.5515013648771611
Consensus,0.1001453772187233,21979,0.9955609910766862,0.5514809590973202
Consensus,0.10040213167667389,21978,0.9955156950672646,0.5514605514605515
Consensus,0.10040762275457382,21977,0.995470399057843,0.5514856440824498
Consensus,0.1004330962896347,21976,0.9954251030484215,0.5514652348016017
Consensus,0.10111940652132034,21975,0.9953798070389999,0.5514448236632536
Consensus,0.10113530606031418,21974,0.9953345110295783,0.5514699189951762
Consensus,0.10127051174640656,21973,0.9952892150201568,0.5514495062121695
Consensus,0.10144852846860886,21972,0.9952439190107352,0.5514746040415074
Consensus,0.101870097219944,21971,0.9951986230013136,0.5514997041554777
Consensus,0.1018785908818245,21970,0.995153326991892,0.5514792899408284
Consensus,0.10213823616504669,21969,0.9951080309824705,0.5515043925531431
Consensus,0.102342888712883,21968,0.9950627349730489,0.5515294974508376
Consensus,0.10247553884983063,21967,0.9950174389636273,0.551554604634224
Consensus,0.10252295434474945,21966,0.9949721429542058,0.5515797141036147
Consensus,0.10325417667627335,21965,0.9949268469447842,0.5516048258593217
Consensus,0.10332019627094269,21964,0.9948815509353626,0.5515844108541249
Consensus,0.10335905849933624,21963,0.9948362549259411,0.5515639939898921
Consensus,0.10339244455099106,21962,0.9947909589165195,0.5515435752663692
Consensus,0.10339593142271042,21961,0.9947456629070979,0.5515231546833023
Consensus,0.10339947044849396,21960,0.9947003668976763,0.5515482695810565
Consensus,0.1034131571650505,21959,0.9946550708882548,0.5515278473518831
Consensus,0.10388561338186264,21958,0.9946097748788332,0.5515074232625922
Consensus,0.10390704870223999,21957,0.9945644788694116,0.5515325408753473
Consensus,0.10394391417503357,21956,0.9945191828599901,0.5515121151393696
Consensus,0.10412426292896271,21955,0.9944738868505685,0.5515372352539285
Consensus,0.10418284684419632,21954,0.9944285908411469,0.551516807871003
Consensus,0.10425171256065369,21953,0.9943832948317253,0.5515419304878604
Consensus,0.10443485528230667,21952,0.9943379988223038,0.551567055393586
Consensus,0.10454345494508743,21951,0.9942927028128822,0.5515921825884925
Consensus,0.10463379323482513,21950,0.9942474068034606,0.5515717539863326
Consensus,0.10520954430103302,21949,0.9942021107940391,0.5515513235227117
Consensus,0.10635416954755783,21948,0.9941568147846175,0.5515764534353927
Consensus,0.10654871165752411,21947,0.9941115187751959,0.5516015856381282
Consensus,0.10674609243869781,21946,0.9940662227657744,0.5515811537410006
Consensus,0.10679715126752853,21945,0.9940209267563528,0.5516062884483938
Consensus,0.10719433426856995,21944,0.9939756307469312,0.5515858549033904
Consensus,0.10723013430833817,21943,0.9939303347375096,0.5515654194959668
Consensus,0.1074303463101387,21942,0.9938850387280881,0.5515449822258682
Consensus,0.1076306402683258,21941,0.9938397427186665,0.5515701198669158
Consensus,0.10779548436403275,21940,0.9937944467092449,0.551595259799453
Consensus,0.10780977457761765,21939,0.9937491506998234,0.5516204020237933
Consensus,0.10781389474868774,21938,0.9937038546904018,0.5516455465402498
Consensus,0.10791806131601334,21937,0.9936585586809802,0.5516706933491362
Consensus,0.10825029015541077,21936,0.9936132626715586,0.5516958424507659
Consensus,0.10858868807554245,21935,0.9935679666621371,0.5516754046045134
Consensus,0.10885842889547348,21934,0.9935226706527155,0.5517005562140969
