checkpoint,subject_id,baseline_accuracy,fused_accuracy,delta_accuracy,baseline_macro_f1,fused_macro_f1,delta_macro_f1
best,1,0.7645845609899823,0.6461402474955804,0.11844431349440188,0.7579261122138495,0.6422902316107664,0.11563588060308316
best,6,0.7501473187978787,0.7793164407778432,-0.029169121979964574,0.7439943585527357,0.7752833082830319,-0.03128894973029628
best,9,0.7480848556275781,0.7053624042427814,0.04272245138479669,0.7427043626693722,0.7045502891820529,0.03815407348731936
final,1,0.6697112551561579,0.5783736004714202,0.09133765468473776,0.6567619761641427,0.5696523103564016,0.08710966580774104
final,6,0.6561579257513259,0.6779611078373601,-0.021803182086034156,0.6405192964737401,0.6635253035060087,-0.023006007032268627
final,9,0.7268709487330584,0.6935769004124926,0.033294048320565706,0.725585819620694,0.6917759510810867,0.033809868539607324
