checkpoint,metric,n_subjects,baseline_mean,baseline_std,fused_mean,fused_std,delta_mean,delta_std
best,accuracy,3,0.7542722451384797,0.007340360220410418,0.710273030838735,0.05447972286066515,0.04399921429974466,0.0602696948490255
best,macro_f1,3,0.7482082778119858,0.006891697973712441,0.7073746096919504,0.05433091324127084,0.040833668120035416,0.060011730034884816
final,accuracy,3,0.6842467098801808,0.030643569067906593,0.6499705362404243,0.05102649085243578,0.034276173639756435,0.046194773614227254
final,macro_f1,3,0.6742890307528588,0.03687344638078277,0.641651188314499,0.05220091693014319,0.03263784243835991,0.04496217362137878
