epoch,total_loss,ce_loss,ajloss,gcl_loss,align_loss,orth_loss,subject_loss,subject_shared_loss,subject_private_loss,shared_subject_acc,private_subject_acc,target_pseudo_conf_mean,target_reliability_mean,target_feature_agreement_mean,target_feature_margin_mean,target_feature_entropy_score_mean,target_scale_consistency_mean,target_align_conf_mean,target_align_coverage,target_align_count,align_active,validation_accuracy,validation_macro_f1
1,5.240320205688477,0.8328081392324888,1.2083779802689185,8.769689614956196,0.0,0.007852209248365117,2.554289616071261,0.0,0.0,0.0,0.0,0.628404723910185,0.7888985998355426,0.8303599541003888,0.7074043326652967,0.7345177313456168,1.0,0.0,0.0,0.0,0.0,0.5775914448900231,0.5692354617090475
2,4.169115433326135,0.18824865497075594,1.1709690506641681,7.574158961956318,0.0,0.005660105836935914,2.454545131096473,0.0,0.0,0.0,0.0,0.8506371126725123,0.8974588971871597,0.9190877790634449,0.8464011045602652,0.8740607179128207,1.0,0.0,0.0,0.0,0.0,0.5964272694130514,0.5887581956863605
3,4.063503650518564,0.10505740631085175,1.1519699004980235,7.542494663825402,0.0,0.004137715557590127,2.4401040168908925,0.0,0.0,0.0,0.0,0.8811302758180178,0.9070389729279739,0.9265247950187097,0.8612468999165755,0.8839617256934826,1.0,0.0,0.0,0.0,0.0,0.5744318872280958,0.567718659127491
4,4.015645503997803,0.07299754611001565,1.1440439315942617,7.509043198365432,0.0,0.0037357444570471463,2.433342172549321,0.0,0.0,0.0,0.0,0.8912849311645215,0.9070552014387571,0.926659820171503,0.8614409199127784,0.8846066479499524,1.0,0.0,0.0,0.0,0.0,0.6136833151051161,0.6120201315433494
5,3.984822126535269,0.05764349779257408,1.1410407790770898,7.470073039715107,0.0,0.003977792167391341,2.4279252015627346,0.0,0.0,0.0,0.0,0.9007057364170368,0.9104488996359018,0.9291802255006937,0.8658381883914654,0.8882123988408309,1.0,0.0,0.0,0.0,0.0,0.6065135496415117,0.6069359515676259
6,3.9659737807053785,0.05243831056241806,1.1401509046554565,7.436295142540565,0.0,0.004479778285783071,2.422121185522813,0.0,0.0,0.0,0.0,0.905403210566594,0.9087666800388923,0.928073905981504,0.8636834094157586,0.8871090274590713,1.0,0.0,0.0,0.0,0.0,0.6328837039737514,0.633533358978132
7,3.9299947573588443,0.037110970642131105,1.1402305639707124,7.378957198216365,0.0,0.00518797323680841,2.415989958322965,0.0,0.0,0.0,0.0,0.9064229749716245,0.9091722529668075,0.9282751954518832,0.8644616214128641,0.8871043370320246,1.0,0.0,0.0,0.0,0.0,0.630817839348645,0.6271786688295203
8,3.888104035304143,0.030297379654187422,1.1402790454717784,7.298013045237615,0.0,0.006730717624752567,2.3972126703995924,0.0,0.0,0.0,0.0,0.9141675027517172,0.9172031925274775,0.9344460093058072,0.8755591809749603,0.896475606239759,1.0,0.0,0.0,0.0,0.0,0.633734354113501,0.6338519368626812
9,3.8265973237844615,0.02575538418470667,1.1399558553328881,7.203970413941604,0.0,0.009615393552499322,2.3479580879211426,0.0,0.0,0.0,0.0,0.9226796833368448,0.9243499842973856,0.9403253014271076,0.8868735295075637,0.9057095050811768,1.0,0.0,0.0,0.0,0.0,0.6427269413051404,0.6314174601576525
10,3.740118696139409,0.01856391217846137,1.1398708132597117,7.121618637671838,0.0,0.012027925095305992,2.2558109026688795,0.0,0.0,0.0,0.0,0.9244403907885919,0.9248197926924779,0.9406134234024928,0.8874449386046483,0.9064662616986495,1.0,0.0,0.0,0.0,0.0,0.655243650504314,0.650378999359235
