epoch,total_loss,ce_loss,ajloss,gcl_loss,align_loss,orth_loss,subject_loss,subject_shared_loss,subject_private_loss,shared_subject_acc,private_subject_acc,target_pseudo_conf_mean,target_reliability_mean,target_feature_agreement_mean,target_feature_margin_mean,target_feature_entropy_score_mean,target_scale_consistency_mean,target_align_conf_mean,target_align_coverage,target_align_count,align_active,validation_accuracy,validation_macro_f1
1,5.240320205688477,0.8328081392324888,1.2083779802689185,8.769689614956196,0.0,0.007852209248365117,2.554289616071261,0.0,0.0,0.0,0.0,0.628404723910185,0.476314718906696,0.6030717709889779,0.3739253437289825,0.4224144352170137,0.6462777096491593,0.0,0.0,0.0,0.0,0.5775914448900231,0.5692354617090475
2,4.169115433326135,0.18824865497075594,1.1709690506641681,7.574158961956318,0.0,0.005660105836935914,2.454545131096473,0.0,0.0,0.0,0.0,0.8506371126725123,0.629630982875824,0.7263943530046023,0.5254616508117089,0.6156032841939193,0.7451904851656693,0.0,0.0,0.0,0.0,0.5964272694130514,0.5887581956863605
3,4.063503650518564,0.10505740631085175,1.1519699004980235,7.542494663825402,0.0,0.004137715557590127,2.4401040168908925,0.0,0.0,0.0,0.0,0.8811302758180178,0.6338906196447519,0.7299467623233795,0.5293771039981109,0.6244779045765216,0.7454063021219693,0.0,0.0,0.0,0.0,0.5744318872280958,0.567718659127491
4,4.015645503997803,0.07299754611001565,1.1440439315942617,7.509043198365432,0.0,0.0037357444570471463,2.433342172549321,0.0,0.0,0.0,0.0,0.8912849311645215,0.633520619227336,0.7293227979770074,0.5281531203251618,0.6228931179413428,0.745929500231376,0.0,0.0,0.0,0.0,0.6136833151051161,0.6120201315433494
5,3.984822126535269,0.05764349779257408,1.1410407790770898,7.470073039715107,0.0,0.003977792167391341,2.4279252015627346,0.0,0.0,0.0,0.0,0.9007057364170368,0.6270181559599363,0.7244134912124047,0.5193729354785039,0.6181191435227027,0.7405659212515905,0.0,0.0,0.0,0.0,0.6065135496415117,0.6069359515676259
6,3.9659737807053785,0.05243831056241806,1.1401509046554565,7.436295142540565,0.0,0.004479778285783071,2.422121185522813,0.0,0.0,0.0,0.0,0.905403210566594,0.631032929970668,0.7273474450294788,0.5249098722751324,0.6209333630708548,0.7421105595735403,0.0,0.0,0.0,0.0,0.6328837039737514,0.633533358978132
7,3.9299947573588443,0.037110970642131105,1.1402305639707124,7.378957198216365,0.0,0.00518797323680841,2.415989958322965,0.0,0.0,0.0,0.0,0.9064229749716245,0.6168783215376047,0.7179387624447162,0.507308522096047,0.6124583001320179,0.7276797753113967,0.0,0.0,0.0,0.0,0.630817839348645,0.6271786688295203
8,3.888104035304143,0.030297379654187422,1.1402790454717784,7.298013045237615,0.0,0.006730717624752567,2.3972126703995924,0.0,0.0,0.0,0.0,0.9141675027517172,0.6419663704358615,0.7361992345406458,0.536290243268013,0.6364363523629996,0.7488738023317777,0.0,0.0,0.0,0.0,0.633734354113501,0.6338519368626812
9,3.8265973237844615,0.02575538418470667,1.1399558553328881,7.203970413941604,0.0,0.009615393552499322,2.3479580879211426,0.0,0.0,0.0,0.0,0.9226796833368448,0.6576467248109671,0.7481737618262951,0.555792721418234,0.6520118071482732,0.7615021260885092,0.0,0.0,0.0,0.0,0.6427269413051404,0.6314174601576525
10,3.740118696139409,0.01856391217846137,1.1398708132597117,7.121618637671838,0.0,0.012027925095305992,2.2558109026688795,0.0,0.0,0.0,0.0,0.9244403907885919,0.6644530640198634,0.7542763123145471,0.5634534576764474,0.6607767985417292,0.765663165312547,0.0,0.0,0.0,0.0,0.655243650504314,0.650378999359235
11,3.651612263459426,0.012037079602193374,1.1401370488680327,7.045608153709998,0.0,0.012204492070640508,2.157006410452036,0.0,0.0,0.0,0.0,0.9281590741414291,0.6892872750759125,0.7721246114143958,0.5934321032120631,0.6831961916043208,0.788554331431022,0.0,0.0,0.0,0.0,0.634463482804715,0.6265696743794819
12,3.6097692984801073,0.01206848113081203,1.1400338823978717,6.98317630474384,0.0,0.012020881968335463,2.118557874973004,0.0,0.0,0.0,0.0,0.9320715872141031,0.6864764736248896,0.7700723730600797,0.5914182387865506,0.6795320212841034,0.7843889960875878,0.0,0.0,0.0,0.0,0.6449143273787824,0.6365650933797584
13,3.56448402771583,0.010658514327727832,1.1403638491263757,6.916944081966694,0.0,0.011123917925243195,2.0788869857788086,0.0,0.0,0.0,0.0,0.9303529721039993,0.6816500746286832,0.7661751806735992,0.5842788379925948,0.6745834144262167,0.7815695634255042,0.0,0.0,0.0,0.0,0.6253493741645401,0.6203309342599801
14,3.5270675145662747,0.008467156117638716,1.1402062406906714,6.876499634522658,0.0,0.011437536217272282,2.0402963757514954,0.0,0.0,0.0,0.0,0.9335781908952273,0.689323216676712,0.7719579820449536,0.595035160963352,0.6819633956138904,0.7865829192675077,0.0,0.0,0.0,0.0,0.657066472232349,0.6484962976589672
15,3.4842901963454027,0.008481641694043692,1.1401106485953698,6.814542550307054,0.0,0.01042522221373824,2.0004932972101064,0.0,0.0,0.0,0.0,0.9368950609977429,0.7111599720441378,0.7889649615837977,0.6224581461686355,0.7020129240476168,0.8037210863370162,0.0,0.0,0.0,0.0,0.668367966946166,0.6610781864654467
16,3.5311038402410655,0.022328088964478902,1.1405106828762934,6.83547306060791,0.09237880804217778,0.010816630405875353,1.9984549146432142,0.0,0.0,0.0,0.0,0.9575155148139367,0.8861402181478647,0.9176836953713343,0.8482885452417227,0.8776791600080637,0.9285009961861831,0.9493231544127831,0.8774383618281438,831.8076923076923,1.0,0.687689877263337,0.684606943591449
17,3.500902771949768,0.024010609548825484,1.1405945695363557,6.8181571043454685,0.038197532009619936,0.011914296648823298,1.9804873970838694,0.0,0.0,0.0,0.0,0.9710173285924472,0.9499319516695462,0.9643006645716153,0.9321556297632364,0.9447389703530532,0.9710852343302506,0.9770110639242026,0.9507069404308612,902.7307692307693,1.0,0.7076193948231863,0.704294941965055
18,3.553347789324247,0.04609559569507837,1.1411561415745661,6.93644538292518,0.03941770700307993,0.010839137785996381,1.9716835984816918,0.0,0.0,0.0,0.0,0.9649959825552427,0.945769713475154,0.961300097979032,0.9268858111821688,0.940637645813135,0.9678294727435479,0.9753215404657217,0.945961172764118,899.9230769230769,1.0,0.7175841536031109,0.7195307790204755
19,3.5125550673558164,0.034593294661205545,1.142141580581665,6.8739046316880446,0.04482740822892923,0.010892582914003959,1.9510765717579768,0.0,0.0,0.0,0.0,0.962798127761254,0.9423347000892346,0.9589199217466208,0.9216910715286548,0.937232622733483,0.9654830946372106,0.9714335042696732,0.9463621515494126,899.3076923076923,1.0,0.6812492404909467,0.6807146015648028
20,3.4486412085019627,0.019534331173277818,1.1413158315878649,6.787907417003925,0.028036994214814443,0.010910041128786711,1.9213120478850145,0.0,0.0,0.0,0.0,0.9735246988443228,0.9621048844777621,0.9730829436045426,0.9493141495264493,0.9573649832835565,0.9772798075125768,0.982859574831449,0.9617861555172846,917.1538461538462,1.0,0.6986268076315469,0.6960228580255847
21,3.414926217152522,0.011226862794361435,1.1405273905167213,6.746273480928862,0.01976553049798195,0.010932873504666181,1.9041702793194697,0.0,0.0,0.0,0.0,0.9833476153703836,0.975601696051084,0.9828805992236505,0.9670979357682742,0.9716044320509984,0.9869284767370957,0.9872237764872037,0.9797165325054755,930.3846153846154,1.0,0.6944950783813343,0.6908291071155424
22,3.3920751076478224,0.010596625596428147,1.1401992119275606,6.708754814588106,0.022145149047271565,0.010534843752303949,1.8850133281487684,0.0,0.0,0.0,0.0,0.9834755131831536,0.9734181647117321,0.9810643792152405,0.963516510449923,0.9700035338218396,0.9849294745005094,0.9864658277768356,0.9755463462609512,929.1923076923077,1.0,0.6885405274030867,0.6838562476696435
23,3.376279537494366,0.011125423085804168,1.1406838022745573,6.685953543736384,0.016860637204864852,0.011398961731734185,1.8712554711561937,0.0,0.0,0.0,0.0,0.9848429744060223,0.9786139543239887,0.9849618054353274,0.9708884289631476,0.9746446426098163,0.9889094256437742,0.9882240112011249,0.9827345380416284,931.4230769230769,1.0,0.6972900716976547,0.6944745734827832
24,3.36324090224046,0.008609175628337722,1.1406938020999615,6.670548897523147,0.015887984397033088,0.010645490354643418,1.8622802266707787,0.0,0.0,0.0,0.0,0.9869997249199793,0.9808039917395666,0.986483280475323,0.9739738221351917,0.9767202528623434,0.9901610887967623,0.9890950322151184,0.9849627636946164,934.7307692307693,1.0,0.6925507352047636,0.6842693486798852
25,3.365064868560204,0.014661699846888391,1.1402243971824646,6.6558553622319145,0.018708108709408686,0.011584152145167956,1.860856450521029,0.0,0.0,0.0,0.0,0.9860070049762726,0.9806519700930669,0.9863694745760697,0.9737405043381911,0.9768447325779841,0.9898508512056791,0.98918816447258,0.9844247423685514,933.1538461538462,1.0,0.6881759630574796,0.6869014737818381
26,3.3481730681199293,0.010843618710238773,1.140758908711947,6.641867545934824,0.01729222469461652,0.011142097735920778,1.846811620088724,0.0,0.0,0.0,0.0,0.984994902060582,0.9799745220404404,0.9859253764152527,0.9727722704410553,0.9754903866694524,0.9899860712198111,0.9894718183920934,0.9822330589477832,932.9615384615385,1.0,0.6966824644549763,0.6953667781765509
27,3.329667852475093,0.011244700899204383,1.1410641349278963,6.625233540168176,0.015337086605051389,0.011447631109219331,1.8243412192051227,0.0,0.0,0.0,0.0,0.9866540867548722,0.9802273213863373,0.9862652650246253,0.9735473256844741,0.9753006306978372,0.9899485134161435,0.9886928223646604,0.9847130408653846,932.4230769230769,1.0,0.6980192003888687,0.6938557195872416
28,3.3258880651914158,0.012213830486871302,1.1413632539602427,6.619083697979267,0.019486003626997653,0.01122758795435612,1.8174371031614451,0.0,0.0,0.0,0.0,0.9854100690438197,0.9772351223688859,0.9840156000394088,0.9693981523697193,0.9723234130786016,0.9879174278332636,0.9879051584463853,0.9802048137554755,930.8846153846154,1.0,0.6810061975938754,0.6832559925497579
29,3.3176625141730676,0.014204864220048945,1.1408917582952058,6.607341216160701,0.022368474003787223,0.010821816654732594,1.8051995635032654,0.0,0.0,0.0,0.0,0.9831779186542218,0.9715642333030701,0.9796841029937451,0.9622547741119678,0.9657650589942932,0.9847093866421626,0.9857395474727337,0.9748327067265143,928.4615384615385,1.0,0.7027585368817596,0.7018641693649114
30,3.293699933932378,0.00968898781754363,1.1408583705241864,6.588889617186326,0.019660382674863704,0.010630719757710513,1.7834749634449298,0.0,0.0,0.0,0.0,0.9856539987600766,0.976959460056745,0.9837877016801101,0.9694255796762613,0.9708893046929286,0.9882179108949808,0.9879133632549872,0.9792901736039382,932.0,1.0,0.6954672499696196,0.6928386306112717
