variant,checkpoint,metric,n_subjects,mean,std
no_agreement,best,accuracy,3,0.7108623060302494,0.05310147343205368
no_agreement,best,macro_f1,3,0.7083624466678957,0.05352316915684211
fused_alignment,best,accuracy,3,0.7069338047534867,0.0527378434519799
fused_alignment,best,macro_f1,3,0.7041335342566727,0.05283906384612486
no_agreement,final,accuracy,3,0.6758986446670595,0.014591751549301034
no_agreement,final,macro_f1,3,0.6689923273972026,0.013763195663103389
fused_alignment,final,accuracy,3,0.6597917894323316,0.019588907425564527
fused_alignment,final,macro_f1,3,0.6541834745988255,0.015615552995804886
