variant,checkpoint,metric,n_subjects,mean,std
no_agreement,best,accuracy,3,0.46627779803135255,0.09590375402234683
no_agreement,best,macro_f1,3,0.45754746870222407,0.09140522205568911
fused_alignment,best,accuracy,3,0.4412443796330052,0.08092361352113449
fused_alignment,best,macro_f1,3,0.4352233400482519,0.08166616323001391
no_agreement,final,accuracy,3,0.41365901081540885,0.08176939794609127
no_agreement,final,macro_f1,3,0.4107322368842241,0.08387761564234153
fused_alignment,final,accuracy,3,0.4497508810305019,0.03362478937360007
fused_alignment,final,macro_f1,3,0.4394493741481443,0.030214390427464533
