dataset,sweep,parameter_value,metric,mean,std,mean_percent,std_percent,result_files,seeds,run_root
seediv,alignment_weight,0.4,acc,0.43560000,0.16230000,43.5600,16.2300,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,alignment_weight,0.4,macro-f1,0.44060000,0.14570000,44.0600,14.5700,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,alignment_weight,0.6,acc,0.58440000,0.10350000,58.4400,10.3500,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,alignment_weight,0.6,macro-f1,0.58360000,0.09110000,58.3600,9.1100,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,alignment_weight,0.8,acc,0.45950000,0.15880000,45.9500,15.8800,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,alignment_weight,0.8,macro-f1,0.46140000,0.13460000,46.1400,13.4600,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0,acc,0.53390000,0.09230000,53.3900,9.2300,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0,macro-f1,0.52870000,0.08980000,52.8700,8.9800,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0.5,acc,0.52920000,0.10990000,52.9200,10.9900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0.5,macro-f1,0.52390000,0.10940000,52.3900,10.9400,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0.7,acc,0.58440000,0.10350000,58.4400,10.3500,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0.7,macro-f1,0.58360000,0.09110000,58.3600,9.1100,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0.9,acc,0.50020000,0.13070000,50.0200,13.0700,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0.9,macro-f1,0.51020000,0.11570000,51.0200,11.5700,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0.95,acc,0.55190000,0.16290000,55.1900,16.2900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
seediv,reliability_threshold,0.95,macro-f1,0.56300000,0.15200000,56.3000,15.2000,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seediv/20260807_175000
