rule,threshold,selected_count,coverage,pseudo_label_accuracy
Consensus,0.0,10182,1.0,0.7645845609899823
Consensus,0.027074210345745087,10182,1.0,0.7645845609899823
Consensus,0.02803472802042961,10181,0.9999017874680809,0.7646596601512622
Consensus,0.029363108798861504,10180,0.9998035749361619,0.7647347740667977
Consensus,0.03257760778069496,10179,0.9997053624042428,0.7648099027409372
Consensus,0.041662245988845825,10178,0.9996071498723237,0.7648850461780311
Consensus,0.045160066336393356,10177,0.9995089373404047,0.764960204382431
Consensus,0.04659901186823845,10176,0.9994107248084856,0.7650353773584906
Consensus,0.048326119780540466,10175,0.9993125122765665,0.765012285012285
Consensus,0.049943260848522186,10174,0.9992142997446474,0.7650874778848044
Consensus,0.05086342990398407,10173,0.9991160872127284,0.7651626855401553
Consensus,0.05128630995750427,10172,0.9990178746808093,0.7652379079826976
Consensus,0.051409684121608734,10171,0.9989196621488902,0.7652148264674073
Consensus,0.051749903708696365,10170,0.9988214496169712,0.7652900688298918
Consensus,0.05339150130748749,10169,0.9987232370850521,0.7653653259907562
Consensus,0.053805265575647354,10168,0.998625024553133,0.7654405979543666
Consensus,0.0538947656750679,10167,0.998526812021214,0.765515884725091
Consensus,0.054282382130622864,10166,0.9984285994892949,0.7655911863072988
Consensus,0.05482335761189461,10165,0.9983303869573757,0.7656665027053615
Consensus,0.055437635630369186,10164,0.9982321744254566,0.7657418339236521
Consensus,0.056154362857341766,10163,0.9981339618935376,0.7658171799665453
Consensus,0.057110950350761414,10162,0.9980357493616185,0.7658925408384176
Consensus,0.05742371454834938,10161,0.9979375368296994,0.7659679165436473
Consensus,0.05841701850295067,10160,0.9978393242977804,0.7660433070866142
Consensus,0.05876588448882103,10159,0.9977411117658613,0.7661187124716999
Consensus,0.060278844088315964,10158,0.9976428992339422,0.7661941327032881
Consensus,0.06069181486964226,10157,0.9975446867020232,0.7662695677857635
Consensus,0.061019089072942734,10156,0.9974464741701041,0.7662465537613233
Consensus,0.061102867126464844,10155,0.997348261638185,0.7662235352043328
Consensus,0.06159186363220215,10154,0.9972500491062659,0.7662989954697657
Consensus,0.06241318956017494,10153,0.9971518365743469,0.7663744705998227
Consensus,0.06381817907094955,10152,0.9970536240424278,0.7664499605988968
