name,Delta,Theta,Alpha,Beta,Gamma
Negative,0.19550096988677979,0.2036648839712143,0.19755621254444122,0.2028171420097351,0.2004607915878296
Neutral,0.2054995745420456,0.20177344977855682,0.19446629285812378,0.19444341957569122,0.2038172483444214
Positive,0.20312558114528656,0.19670356810092926,0.20247985422611237,0.19782134890556335,0.19986964762210846
