name,FP1,FPZ,FP2,AF3,AF4,F7,F5,F3,F1,FZ,F2,F4,F6,F8,FT7,FC5,FC3,FC1,FCZ,FC2,FC4,FC6,FT8,T7,C5,C3,C1,CZ,C2,C4,C6,T8,TP7,CP5,CP3,CP1,CPZ,CP2,CP4,CP6,TP8,P7,P5,P3,P1,PZ,P2,P4,P6,P8,PO7,PO5,PO3,POZ,PO4,PO6,PO8,CB1,O1,OZ,O2,CB2
Negative,1.5473863632364706,1.5214184797815646,1.5853588265317666,1.5445793867337814,1.8082593676631094,1.6688613156323677,1.7017897479522177,1.6663744479505935,1.5444581874029224,1.5622203058088968,1.5592125661793261,1.6006839828627912,1.6147619267855546,1.6127068138965341,1.6381253079140294,1.6464179087188353,1.5993439460258372,1.6158396027180615,1.5904835620028202,1.6307565311852636,1.6083278107788823,1.6082228664171032,1.6297196352629046,1.6810322950246543,1.6409352787531282,1.5812374789327759,1.6675118680238414,1.7255359763787579,1.6892111110459012,1.622548627324611,1.6288702418347567,1.5722189654298502,1.6094134716084805,1.5952488345172913,1.6423980833828695,1.6892624425272058,1.7416510671720855,1.653184966416749,1.6148296558233874,1.6231208307537124,1.6361623065164617,1.6618240547203629,1.6136985095978547,1.5784307876049828,1.7363947234864643,1.5460775530506439,1.5751676738559202,1.5709460872809369,1.6047886477303577,1.6436378812438308,1.6004585521073935,1.579205037447998,1.5623697374544732,1.541224018905818,1.5283706159870725,1.627613048305131,1.579093248888712,1.5306982134893532,1.5280120085551785,1.546827990789832,1.5494711343146899,1.5760080842748398
Neutral,1.548405729488368,1.5327436552754243,1.5645116068356935,1.5202936081598548,1.7824273598718032,1.7169990593805977,1.6572913981196844,1.5519526359587728,1.5141704711541204,1.53310010522479,1.5135362044201845,1.5983108641589145,1.640287970620887,1.678373194373906,1.6756667754665118,1.6313138459514713,1.5579605769079095,1.566948775995927,1.5753862369647536,1.6068445513157885,1.5979567089517124,1.715882284861126,1.814717900714061,1.8037623426780418,1.6593716583821199,1.5898372992467193,1.6860592037756572,1.771440899307985,1.72792585664817,1.6504403688997515,1.6766812044855008,1.6939150240974927,1.6869006092355334,1.6132488707279322,1.5932768117838816,1.6632021949839082,1.7096930592810886,1.6256322173379554,1.566148369929369,1.5712090413134963,1.6852770026635944,1.7051442683821878,1.6422310053019573,1.5350197335357945,1.6851663960913235,1.5027701920868541,1.5004058427446025,1.5161615424378088,1.5881603016737806,1.6639273335075102,1.6009247284657222,1.582318653040078,1.5404991188733181,1.4881268304116042,1.4876493710588272,1.685679347456226,1.536051755578035,1.53411820583124,1.5206652034074981,1.5204011550759078,1.532307348298776,1.5631681117904879
Positive,1.6368979369349657,1.6201677574431745,1.6364964610982684,1.6003301629214273,1.8113181308604491,1.599667757588687,1.594886003573276,1.60152277063326,1.6012582653999285,1.6466400331781539,1.6004919650337432,1.5659957348228182,1.507397148091066,1.5124824424718772,1.5289243778077812,1.5166312909871804,1.505199062918845,1.6182930778435138,1.7096342936241686,1.682235405301225,1.5719528138198329,1.5414567410486206,1.5434639215800368,1.5515585961934708,1.528561738451081,1.5616371097199084,1.7072228561270526,1.8705790235989055,1.8519955196051503,1.7119255466179681,1.620444082474766,1.5324450884726948,1.5772163984349024,1.5542914527424307,1.6785430592464519,1.8076426702317614,1.8829701452168397,1.7763329185752879,1.7021004138088527,1.6187678562946304,1.6243720298864535,1.6028854245183795,1.584414754901291,1.5918964885478128,1.5713377870061687,1.607995848386248,1.611614295870387,1.6151479189199545,1.5842981461352637,1.6306693005560777,1.6003188397533463,1.557422805347014,1.537385565493312,1.5566156819801156,1.5408380391716319,1.519151788471603,1.5462598501617286,1.5587371867787356,1.5495799222343292,1.5832396285717591,1.5517781067325855,1.5864625597813486
