threshold,sample_count,selected_count,rejected_count,wrong_pseudo_count,coverage,selected_pseudo_precision,rejected_error_recall,rejected_error_precision
0.0,10182,10182,0,1869,1.0,0.8164407778432528,0.0,nan
0.01,10182,10182,0,1869,1.0,0.8164407778432528,0.0,nan
0.02,10182,10182,0,1869,1.0,0.8164407778432528,0.0,nan
0.03,10182,10182,0,1869,1.0,0.8164407778432528,0.0,nan
0.04,10182,10180,2,1869,0.9998035749361619,0.8166011787819254,0.001070090957731407,1.0
0.05,10182,10179,3,1869,0.9997053624042428,0.8166814028882995,0.0016051364365971107,1.0
0.06,10182,10176,6,1869,0.9994107248084856,0.8169221698113207,0.0032102728731942215,1.0
0.07,10182,10171,11,1869,0.9989196621488902,0.8171271261429555,0.004815409309791332,0.8181818181818182
0.08,10182,10148,34,1869,0.9966607739147515,0.8186834844304296,0.015516318887105404,0.8529411764705882
0.09,10182,10137,45,1869,0.9955804360636418,0.8194732169280853,0.02086677367576244,0.8666666666666667
0.1,10182,10129,53,1869,0.9947947358082891,0.8199229933853293,0.024077046548956663,0.8490566037735849
0.11,10182,10118,64,1869,0.9937143979571793,0.820517888910852,0.02835741037988229,0.828125
0.12,10182,10083,99,1869,0.9902769593400118,0.8207874640483983,0.03317281968967362,0.6262626262626263
0.13,10182,10052,130,1869,0.9872323708505205,0.8219259848786311,0.04226859283039058,0.6076923076923076
0.14,10182,10036,146,1869,0.9856609703398154,0.8222399362295736,0.0454788657035848,0.5821917808219178
0.15,10182,10028,154,1869,0.9848752700844627,0.8221978460311129,0.04601391118245051,0.5584415584415584
0.16,10182,10003,179,1869,0.982419956786486,0.8222533240027992,0.04868913857677903,0.5083798882681564
0.17,10182,9974,208,1869,0.9795717933608329,0.8223380790054141,0.051899411449973246,0.46634615384615385
0.18,10182,9956,226,1869,0.9778039677862895,0.823222177581358,0.05831995719636169,0.4823008849557522
0.19,10182,9945,237,1869,0.9767236299351797,0.8236299648064354,0.061530230069555915,0.48523206751054854
0.2,10182,9942,240,1869,0.9764289923394225,0.8236773285053309,0.06206527554842162,0.48333333333333334
0.21,10182,9931,251,1869,0.9753486544883128,0.8238848051555735,0.06420545746388442,0.47808764940239046
0.22,10182,9923,259,1869,0.9745629542329601,0.8241459236118109,0.06634563937934725,0.47876447876447875
0.23,10182,9913,269,1869,0.9735808289137694,0.8247755472611722,0.07062600321027288,0.49070631970260226
0.24,10182,9899,283,1869,0.9722058534669024,0.825234872209314,0.0743713215623328,0.4911660777385159
0.25,10182,9885,297,1869,0.9708308780200353,0.8257966616084977,0.07865168539325842,0.494949494949495
0.26,10182,9872,310,1869,0.9695541151050874,0.8261750405186385,0.08186195826645265,0.4935483870967742
0.27,10182,9860,322,1869,0.9683755647220585,0.8265720081135902,0.08507223113964688,0.4937888198757764
0.28,10182,9834,348,1869,0.9658220388921627,0.8272320520642669,0.0909577314071696,0.4885057471264368
0.29,10182,9807,375,1869,0.9631703005303477,0.8277760783114102,0.09630818619582665,0.48
0.3,10182,9741,441,1869,0.9566882734236889,0.8287650138589467,0.10754414125200643,0.4557823129251701
0.31,10182,9695,487,1869,0.9521704969554116,0.8294997421351212,0.11556982343499198,0.44353182751540043
0.32,10182,9646,536,1869,0.9473580828913769,0.8309143686502177,0.12734082397003746,0.44402985074626866
0.33,10182,9577,605,1869,0.9405814181889609,0.8324109846507257,0.14125200642054575,0.43636363636363634
0.34,10182,9496,686,1869,0.932626203103516,0.8346672283066554,0.15997859818084537,0.4358600583090379
0.35000000000000003,10182,9394,788,1869,0.9226085248477706,0.8371300830317224,0.18138041733547353,0.4302030456852792
0.36,10182,9271,911,1869,0.9105283834217246,0.8411174630568439,0.21187800963081863,0.43468715697036225
0.37,10182,9188,994,1869,0.9023767432724416,0.8454505877231171,0.24023542001070092,0.4517102615694165
0.38,10182,9091,1091,1869,0.8928501276762915,0.8506214937850621,0.27340823970037453,0.46837763519706693
0.39,10182,8993,1189,1869,0.8832252995482224,0.8524407872789947,0.28999464954521137,0.4558452481076535
0.4,10182,8896,1286,1869,0.8736986839520723,0.8551034172661871,0.3103263777421081,0.4510108864696734
0.41000000000000003,10182,8799,1383,1869,0.8641720683559222,0.8572565064211842,0.3279828785446763,0.4432393347794649
0.42,10182,8744,1438,1869,0.8587703791003732,0.8585315645013724,0.33814874264312467,0.43949930458970793
0.43,10182,8689,1493,1869,0.8533686898448242,0.8605132926688916,0.35152487961476725,0.44005358338914935
0.44,10182,8619,1563,1869,0.8464938126104891,0.8641373709247012,0.3734617442482611,0.4465770953294946
0.45,10182,8500,1682,1869,0.8348065213121194,0.8654117647058823,0.3879079721776351,0.43103448275862066
0.46,10182,8377,1805,1869,0.8227263798860734,0.8663005849349409,0.40074906367041196,0.4149584487534626
