name,hidden-1,hidden-2,hidden-3,hidden-4,hidden-5,hidden-6,hidden-7,hidden-8,hidden-9,hidden-10,hidden-11,hidden-12,hidden-13,hidden-14,hidden-15,hidden-16,hidden-17,hidden-18,hidden-19,hidden-20,hidden-21,hidden-22,hidden-23,hidden-24,hidden-25,hidden-26,hidden-27,hidden-28,hidden-29,hidden-30,hidden-31,hidden-32,hidden-33,hidden-34,hidden-35,hidden-36,hidden-37,hidden-38,hidden-39,hidden-40,hidden-41,hidden-42,hidden-43,hidden-44,hidden-45,hidden-46,hidden-47,hidden-48,hidden-49,hidden-50,hidden-51,hidden-52,hidden-53,hidden-54,hidden-55,hidden-56,hidden-57,hidden-58,hidden-59,hidden-60,hidden-61,hidden-62,hidden-63,hidden-64
delta,2.521299123764038,0.20596203207969666,1.6903746128082275,2.3529372215270996,2.594057321548462,3.74924635887146,0.6222959160804749,0.8757111430168152,3.845057964324951,0.07194822281599045,3.1452293395996094,1.5335696935653687,4.5376811027526855,3.6783363819122314,0.07851126044988632,1.8304256200790405,1.321593165397644,1.500704050064087,0.7045583724975586,1.9713735580444336,2.207791328430176,4.121194362640381,2.603998899459839,3.037364959716797,1.34451162815094,1.469769835472107,4.775078773498535,4.1987104415893555,6.731099605560303,1.4837026596069336,1.4686681032180786,2.971320390701294,3.327226161956787,1.5938780307769775,1.8344333171844482,2.6881566047668457,0.8076186776161194,3.162341356277466,4.271081447601318,0.6778109073638916,3.732367992401123,2.7134270668029785,0.6478700637817383,6.290121555328369,1.7845951318740845,0.0627860352396965,3.180104970932007,2.0402071475982666,1.5274349451065063,1.550553321838379,0.05775907263159752,1.6465412378311157,4.849742889404297,0.10571732372045517,5.039468288421631,0.05542215704917908,3.910515308380127,1.8429760932922363,0.5005701780319214,4.568632125854492,2.955087900161743,5.184473037719727,1.336328148841858,1.6067839860916138
theta,0.8725162744522095,2.662519931793213,4.261209487915039,3.4742753505706787,3.5092287063598633,5.591482162475586,0.9468410611152649,1.579455018043518,4.741505146026611,3.3229146003723145,1.8647735118865967,3.7449042797088623,1.584802508354187,0.7218312621116638,4.429217338562012,1.5771405696868896,0.8086065649986267,3.7911767959594727,3.802849531173706,6.694381237030029,2.1510064601898193,3.6249186992645264,0.8382307887077332,1.778580665588379,2.470240831375122,2.717463970184326,0.6687097549438477,2.12343168258667,0.49507391452789307,1.0317476987838745,3.7988083362579346,2.6334664821624756,3.890477180480957,0.8517124056816101,3.9138619899749756,2.982884645462036,0.11921294033527374,0.9249340295791626,3.817610025405884,2.3722431659698486,1.6080104112625122,1.32643723487854,0.09263886511325836,3.0838944911956787,2.1839888095855713,2.4711639881134033,1.5881766080856323,2.4917993545532227,2.5209574699401855,4.284895896911621,4.302635192871094,1.5687329769134521,1.571793556213379,1.3664196729660034,0.25166070461273193,3.098240613937378,2.9225330352783203,2.129530429840088,3.0980725288391113,3.048555850982666,1.4260801076889038,1.0256086587905884,2.55464243888855,0.8825029134750366
alpha,1.2050048112869263,2.3212692737579346,0.6466948986053467,2.212920904159546,2.2374765872955322,2.946469783782959,1.2846229076385498,3.333038806915283,2.5318875312805176,3.9282643795013428,2.120516538619995,3.698641777038574,2.5587503910064697,1.9326969385147095,1.9107694625854492,0.9474705457687378,1.9963254928588867,1.4740920066833496,2.274060010910034,3.395911455154419,2.928711175918579,1.22450590133667,3.2086551189422607,2.887026071548462,1.394294023513794,1.4757758378982544,0.8245218992233276,2.725140333175659,1.2605226039886475,2.537048578262329,2.4549059867858887,2.128509998321533,2.510735511779785,2.483353853225708,0.6898857355117798,1.3085139989852905,3.901660919189453,2.840454578399658,2.127119541168213,3.6009292602539062,3.305234909057617,3.9658172130584717,0.8604983687400818,1.668392539024353,2.073517322540283,0.5586180090904236,2.960078477859497,1.187652587890625,1.766015648841858,2.2141571044921875,0.7604302167892456,3.291653871536255,0.3328368663787842,2.8808557987213135,2.7701618671417236,3.213540554046631,0.9018682837486267,1.3858965635299683,3.243870735168457,2.214733123779297,0.5851730704307556,1.3849602937698364,1.250200867652893,0.8467390537261963
beta,1.616843342781067,1.4162484407424927,1.3208032846450806,1.9362812042236328,1.6314114332199097,1.3707963228225708,3.6136953830718994,1.461891531944275,1.7054319381713867,1.5347182750701904,3.5348923206329346,1.8908547163009644,1.162916898727417,1.4899569749832153,1.541564702987671,0.7267414331436157,2.698913097381592,1.7498494386672974,2.3030123710632324,2.574038028717041,1.6148834228515625,1.6511783599853516,2.101360559463501,2.545915126800537,1.5147947072982788,2.1656088829040527,1.7589999437332153,1.044195294380188,1.793246865272522,2.9217350482940674,1.6304025650024414,0.4891413152217865,1.7660157680511475,1.001023530960083,1.4958525896072388,0.8100593090057373,2.1563241481781006,1.5995477437973022,4.209691047668457,2.471503973007202,0.9727848172187805,1.0231603384017944,1.9144001007080078,2.147580146789551,1.7891440391540527,2.12609601020813,3.756747007369995,1.0203266143798828,1.4011921882629395,1.7653262615203857,1.935076355934143,1.2725907564163208,1.725820779800415,1.876057505607605,1.7094652652740479,1.3746585845947266,1.358492136001587,2.262479782104492,3.9929840564727783,1.3674441576004028,1.7853689193725586,3.4807255268096924,1.5627598762512207,1.5883259773254395
gamma,5.179389953613281,1.52149498462677,4.120987415313721,1.148524522781372,1.0580397844314575,1.9296809434890747,1.5460902452468872,0.439672589302063,2.009596109390259,0.5353249907493591,4.618609428405762,4.0458526611328125,2.043034553527832,1.7424038648605347,0.8086617588996887,3.4995803833007812,3.0210413932800293,0.10956427454948425,1.281643033027649,2.7711973190307617,0.8927715420722961,4.557123184204102,0.35359036922454834,2.14876651763916,0.24520854651927948,1.2178336381912231,0.3354971706867218,4.047630786895752,0.8804935812950134,2.452515125274658,2.046459674835205,0.09175751358270645,2.101170063018799,1.586112141609192,1.6099112033843994,2.8720486164093018,5.325146675109863,2.6599280834198,0.42833709716796875,2.139354944229126,2.3932247161865234,2.289963722229004,5.035894870758057,2.713437795639038,3.7144339084625244,1.464638590812683,1.7299407720565796,3.2493271827697754,6.968393802642822,1.5358424186706543,5.800501346588135,2.7576053142547607,0.1361868530511856,3.502963066101074,4.984481334686279,1.7290524244308472,3.9388818740844727,0.13520415127277374,1.7416080236434937,0.8760530948638916,1.653862476348877,4.015847206115723,1.238792061805725,2.78417706489563
