name,delta,theta,alpha,beta,gamma
Negative,0.020956814289093018,-0.061073243618011475,0.018848180770874023,0.013941243290901184,0.007326081395149231
Neutral,-0.02578987181186676,-0.06621375679969788,-0.046490758657455444,0.06909064948558807,0.06940262019634247
Positive,-0.012021377682685852,-0.007947787642478943,0.0036503970623016357,0.0014927685260772705,0.014829471707344055
