name,delta,theta,alpha,beta,gamma
Negative,0.22095681726932526,0.13892675936222076,0.21884818375110626,0.21394124627113342,0.20732608437538147
Neutral,0.17421013116836548,0.13378624618053436,0.1535092443227768,0.2690906524658203,0.2694026231765747
Positive,0.1879786252975464,0.1920522153377533,0.20365040004253387,0.2014927715063095,0.2148294746875763
