checkpoint,metric,n_subjects,baseline_mean,baseline_std,fused_mean,fused_std,delta_mean,delta_std
best,accuracy,3,0.5136711629602625,0.10881171918598491,0.4815895005468465,0.10033448405188308,0.03208166241341598,0.02115729949478223
best,macro_f1,3,0.5081825913550017,0.10442246888570725,0.4784307209719689,0.10260505519022707,0.029751870383032748,0.026796289789354454
final,accuracy,3,0.4542471746263215,0.11793417103694062,0.46105237574431895,0.10429018574150475,-0.006805201117997354,0.07038033007285999
final,macro_f1,3,0.4527295138475897,0.11800526715691315,0.45673064509497974,0.10400480002362351,-0.004001131247390026,0.07321000827359403
