dataset,sweep,parameter_value,metric,mean,std,mean_percent,std_percent,result_files,seeds,run_root
seedv,alignment_weight,0,acc,0.47940000,0.02160000,47.9400,2.1600,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0,macro-f1,0.48040000,0.02300000,48.0400,2.3000,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0.2,acc,0.50160000,0.04320000,50.1600,4.3200,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0.2,macro-f1,0.50100000,0.03840000,50.1000,3.8400,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0.3,acc,0.50370000,0.01890000,50.3700,1.8900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0.3,macro-f1,0.50160000,0.02440000,50.1600,2.4400,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0.4,acc,0.48540000,0.02850000,48.5400,2.8500,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0.4,macro-f1,0.48490000,0.03540000,48.4900,3.5400,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0.6,acc,0.49060000,0.02890000,49.0600,2.8900,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0.6,macro-f1,0.48970000,0.02730000,48.9700,2.7300,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
seedv,alignment_weight,0.8,acc,0.48650000,0.03160000,48.6500,3.1600,1,2024,/mnt/sdc/sdc1/yangli/yangli/EEG/bk1/ZTC/search_runs/dms_sgpan_parameter_sensitivity_seedv/20260808_015343
