channel,value
FP1,0.9918887615203857
FPZ,0.9648354053497314
FP2,0.9719922542572021
AF3,0.770080029964447
AF4,0.7886980772018433
F7,1.213098406791687
F5,0.9873839020729065
F3,1.0846127271652222
F1,0.6908188462257385
FZ,0.574164092540741
F2,0.752240777015686
F4,0.5488529205322266
F6,0.8427497744560242
F8,1.019729733467102
FT7,0.7932499051094055
FC5,0.9373296499252319
FC3,0.7753392457962036
FC1,0.6413941383361816
FCZ,0.6691990494728088
FC2,0.8278763294219971
FC4,0.956733763217926
FC6,0.70569908618927
FT8,1.041574239730835
T7,1.486836552619934
C5,1.0179641246795654
C3,0.7568151950836182
C1,1.1014569997787476
CZ,0.9160165786743164
C2,0.8768031001091003
C4,0.7134293913841248
C6,1.1308183670043945
T8,1.498872995376587
TP7,1.5283173322677612
CP5,0.8431987762451172
CP3,0.6615498065948486
CP1,0.8026136755943298
CPZ,0.8820578455924988
CP2,0.8295367360115051
CP4,0.9520298838615417
CP6,0.8388692736625671
TP8,1.2787878513336182
P7,0.8737998008728027
P5,0.8583406209945679
P3,0.5418593883514404
P1,1.1020947694778442
PZ,0.8027951121330261
P2,0.6921908259391785
P4,0.7019853591918945
P6,0.6444931626319885
P8,0.653312623500824
PO7,0.8909785151481628
PO5,0.6160275340080261
PO3,0.7234745025634766
POZ,0.8434426784515381
PO4,0.7020125985145569
PO6,0.6648997664451599
PO8,0.7451067566871643
CB1,0.8912419676780701
O1,0.6790567636489868
OZ,0.7266666889190674
O2,0.6040874123573303
CB2,0.6566940546035767
