stage,sample_count,feature_dimension,same_emotion_subject_centroid_distance,subject_silhouette,emotion_silhouette
raw,20364,310,1.2829772011847351,0.39983588457107544,0.02264191210269928
subject_minmax,20364,310,0.785971400399484,0.058256037533283234,0.054651785641908646
learned_shared,20364,64,0.24716454396656748,-0.026393884792923927,0.29274752736091614
