variant,partition,shared_subject_ratio,shared_emotion_ratio,private_subject_ratio,private_emotion_ratio,macro_f1_mean,macro_f1_std
baseline,target,0.0068508738796144225,5.062667642591208,68.06224707504032,0.0005227975692823354,0.7326804595509531,0.11741285425970469
no_disentangle,target,0.0034242010112504246,4.87502231886926,nan,nan,0.7322171514625974,0.06594765603792066
no_subject,target,0.0044763149890514765,4.070616435356462,0.031927375090403144,0.15945518421106128,0.744778468267187,0.09046394601532882
no_orth,target,0.026374187491120346,4.222985737178804,4.823763741995271,0.09342489427602056,0.6841155357867414,0.15943420050349835
