variant,display_name,threshold,coverage,selected_pseudo_accuracy,pseudo_accuracy_all,target_macro_f1_subject_mean,test_macro_f1_subject_mean,selected_count,target_count
no_prototype,w/o prototype,0.95,0.7738165389903752,0.7833481406269831,0.7402278530740523,0.7244561017822368,0.6253832625664132,7879,10182
classifier_pseudo,classifier pseudo,0.95,0.8272441563543508,0.7525822153626974,0.7192103712433706,0.7173482958313825,0.6558219516242199,8423,10182
threshold_zero,$\tau=0$,0.0,1.0,0.7374779021803182,0.7374779021803182,0.7261683650051306,0.6063322292161213,10182,10182
baseline,DMS-SGPAN,0.95,0.8121194264388136,0.7363647357600677,0.7271655863288156,0.7326804595509531,0.6489052711877951,8269,10182
