true_class,class_name,sample_count,selected_count,coverage,selected_pseudo_accuracy,mean_reliability
0,Negative,3360,2690,0.8005952380952381,0.7661710037174722,0.9299585813124265
1,Neutral,3312,2242,0.6769323671497585,0.5597680642283676,0.9438619661338375
2,Positive,3510,3337,0.9507122507122507,0.8309859154929577,0.9881695422776404
