bin_lower,bin_upper,sample_count,mean_reliability,pseudo_accuracy,selected_fraction
0.0,0.1,0,nan,nan,nan
0.1,0.2,1,0.1965155154466629,1.0,1.0
0.2,0.30000000000000004,3,0.23725740114847818,0.3333333333333333,1.0
0.30000000000000004,0.4,8,0.3624153882265091,0.5,1.0
0.4,0.5,17,0.4581673338132746,0.29411764705882354,1.0
0.5,0.6000000000000001,23,0.5532641410827637,0.2608695652173913,1.0
0.6000000000000001,0.7000000000000001,48,0.6348165373007456,0.20833333333333334,1.0
0.7000000000000001,0.8,13,0.7558138416363642,0.46153846153846156,1.0
0.8,0.9,38,0.8523458462012442,0.21052631578947367,1.0
0.9,1.0,10031,0.9992259567797143,0.7444920745688366,1.0
